Section,Field,Value
Input,load_capacity_kg,700.0
Input,platform_length_mm,1300.0
Input,platform_width_mm,1000.0
Input,desired_material,Stainless Steel
Input,number_of_wheels,2
Input,operating_environment,Indoor
Calculation,recommended_tube_mm,50x50x3.0
Calculation,platform_thickness_mm,3.5
Calculation,frame_mass_kg,29.78
Calculation,deck_mass_kg,36.4
Calculation,axle_set_mass_kg,1.16
Calculation,wheel_set_mass_kg,9.0
Calculation,payload_kg,700.0
Calculation,total_loaded_mass_kg,776.34
Calculation,load_per_wheel_n,3807.94
Calculation,rolling_force_n,114.24
Calculation,cg_height_mm,611.66
Calculation,tipping_angle_deg,39.26
Calculation,yield_strength_mpa,215.0
Calculation,safety_factor,2.5
Calculation,estimated_allowable_stress_mpa,86.0
Cost,material_cost_inr,14141.4
Cost,wheel_cost_inr,2610.0
Cost,hanger_cost_inr,560.0
Cost,fastener_cost_inr,650.0
Cost,fabrication_cost_inr,7045.78
Cost,assembly_cost_inr,2031.31
Cost,total_estimated_cost_inr,27038.49
BOM,item,qty,unit,spec
BOM,Square tube frame,6.6,m,50x50x3.0 mm
BOM,Platform sheet,1.3,m2,Stainless Steel 3.5 mm
BOM,Wheels,2,nos,Industrial caster
BOM,Axle rod,1,nos,"Solid round bar, 14 mm dia x 0.96 m"
BOM,Axle hanger brackets,2,nos,Welded hanger/clamp set (approx)
BOM,Fasteners set,1,set,M10 bolts/nuts/washers (approx)
